GN|Bench|0	Louvain|GN|1	Infomap|GN|2	LLP|GN|0|3	LLP|GN|0.1|4	LLP|GN|0.2|5	LLP|GN|0.3|6	LLP|GN|0.4|7	LLP|GN|0.5|8	LLP|GN|0.6|9	LLP|GN|0.7|10	LLP|GN|0.8|11	LLP|GN|0.9|12	LLP|GN|1|13	Louvain|LFR|14	Infomap|LFR|15	LLP|LFR|0|16	LLP|LFR|0.1|17	LLP|LFR|0.2|18	LLP|LFR|0.3|19	LLP|LFR|0.4|20	LLP|LFR|0.5|21	LLP|LFR|0.6|22	LLP|LFR|0.7|23	LLP|LFR|0.8|24	LLP|LFR|0.9|25	LLP|LFR|1|26	GN|Bench|27	Louvain|GN|28	Infomap|GN|29	LLP|GN|0|30	LLP|GN|0.1|31	LLP|GN|0.2|32	LLP|GN|0.3|33	LLP|GN|0.4|34	LLP|GN|0.5|35	LLP|GN|0.6|36	LLP|GN|0.7|37	LLP|GN|0.8|38	LFR Bench|39	LLP|GN|0.9|40	LLP|GN|1|41	Louvain|LFR|42	Infomap|LFR|43	LLP|LFR|0|44	LLP|LFR|0.1|45	LLP|LFR|0.2|46	LLP|LFR|0.3|47	LLP|LFR|0.4|48	LLP|LFR|0.5|49	LLP|LFR|0.6|50	LLP|LFR|0.7|51	LLP|LFR|0.8|52	LLP|LFR|0.9|53	LLP|LFR|1|54	Louvain|GN|55	Infomap|GN|56	LLP|GN|0|57	LLP|GN|0.1|58	LLP|GN|0.2|59	LLP|GN|0.3|60	LLP|GN|0.4|61	LLP|GN|0.5|62	LLP|GN|0.6|63	LLP|GN|0.7|64	LLP|GN|0.8|65	LLP|GN|0.9|66	LLP|GN|1|67	Louvain|LFR|68	Infomap|LFR|69	LLP|LFR|0|70	LLP|LFR|0.1|71	LLP|LFR|0.2|72	LLP|LFR|0.3|73	LLP|LFR|0.4|74	LLP|LFR|0.5|75	LLP|LFR|0.6|76	LLP|LFR|0.7|77	LLP|LFR|0.8|78	LLP|LFR|0.9|79	LLP|LFR|1|80	Louvain|GN|81	Infomap|GN|82	LLP|GN|0|83	LLP|GN|0.1|84	LLP|GN|0.2|85	LLP|GN|0.3|86	LLP|GN|0.4|87	LLP|GN|0.5|88	LLP|GN|0.6|89	LLP|GN|0.7|90	LLP|GN|0.8|91	LLP|GN|0.9|92	LLP|GN|1|93	Louvain|LFR|94	Infomap|LFR|95	LLP|LFR|0|96	LLP|LFR|0.1|97	LLP|LFR|0.2|98	LLP|LFR|0.3|99	LLP|LFR|0.4|100	LLP|LFR|0.5|101	LLP|LFR|0.6|102	LLP|LFR|0.7|103	LLP|LFR|0.8|104	LLP|LFR|0.9|105	LLP|LFR|1|106	Louvain|GN|107	Infomap|GN|108	LLP|GN|0|109	LLP|GN|0.1|110	LLP|GN|0.2|111	LLP|GN|0.3|112	LLP|GN|0.4|113	LLP|GN|0.5|114	LLP|GN|0.6|115	LLP|GN|0.7|116	LLP|GN|0.8|117	LLP|GN|0.9|118	LLP|GN|1|119	Louvain|LFR|120	Infomap|LFR|121	LLP|LFR|0|122	LLP|LFR|0.1|123	LLP|LFR|0.2|124	LLP|LFR|0.3|125	LLP|LFR|0.4|126	LLP|LFR|0.5|127	LLP|LFR|0.6|128	LLP|LFR|0.7|129	LLP|LFR|0.8|130	LLP|LFR|0.9|131	LLP|LFR|1|132	Louvain|GN|133	Infomap|GN|134	LLP|GN|0|135	LLP|GN|0.1|136	LLP|GN|0.2|137	LLP|GN|0.3|138	LLP|GN|0.4|139	LLP|GN|0.5|140	LLP|GN|0.6|141	LLP|GN|0.7|142	LLP|GN|0.8|143	LLP|GN|0.9|144	LLP|GN|1|145	Louvain|LFR|146	Infomap|LFR|147	LLP|LFR|0|148	LLP|LFR|0.1|149	LLP|LFR|0.2|150	LLP|LFR|0.3|151	LLP|LFR|0.4|152	LLP|LFR|0.5|153	LLP|LFR|0.6|154	LLP|LFR|0.7|155	LLP|LFR|0.8|156	LLP|LFR|0.9|157	LLP|LFR|1|158	Louvain|GN|159	Infomap|GN|160	LLP|GN|0|161	LLP|GN|0.1|162	LLP|GN|0.2|163	LLP|GN|0.3|164	LLP|GN|0.4|165	LLP|GN|0.5|166	LLP|GN|0.6|167	LLP|GN|0.7|168	LLP|GN|0.8|169	LLP|GN|0.9|170	LLP|GN|1|171	Louvain|LFR|172	Infomap|LFR|173	LLP|LFR|0|174	LLP|LFR|0.1|175	LLP|LFR|0.2|176	LLP|LFR|0.3|177	LLP|LFR|0.4|178	LLP|LFR|0.5|179	LLP|LFR|0.6|180	LLP|LFR|0.7|181	LLP|LFR|0.8|182	LLP|LFR|0.9|183	LLP|LFR|1|184	Louvain|GN|185	Infomap|GN|186	LLP|GN|0|187	LLP|GN|0.1|188	LLP|GN|0.2|189	LLP|GN|0.3|190	LLP|GN|0.4|191	LLP|GN|0.5|192	LLP|GN|0.6|193	LLP|GN|0.7|194	LLP|GN|0.8|195	LLP|GN|0.9|196	LLP|GN|1|197	Louvain|LFR|198	Infomap|LFR|199	LLP|LFR|0|200	LLP|LFR|0.1|201	LLP|LFR|0.2|202	LLP|LFR|0.3|203	LLP|LFR|0.4|204	LLP|LFR|0.5|205	LLP|LFR|0.6|206	LLP|LFR|0.7|207	LLP|LFR|0.8|208	LLP|LFR|0.9|209	LLP|LFR|1|210	Louvain|GN|211	Infomap|GN|212	LLP|GN|0|213	LLP|GN|0.1|214	LLP|GN|0.2|215	LLP|GN|0.3|216	LLP|GN|0.4|217	LLP|GN|0.5|218	LLP|GN|0.6|219	LLP|GN|0.7|220	LLP|GN|0.8|221	LLP|GN|0.9|222	LLP|GN|1|223	Louvain|LFR|224	Infomap|LFR|225	LLP|LFR|0|226	LLP|LFR|0.1|227	LLP|LFR|0.2|228	LLP|LFR|0.3|229	LLP|LFR|0.4|230	LLP|LFR|0.5|231	LLP|LFR|0.6|232	LLP|LFR|0.7|233	LLP|LFR|0.8|234	LLP|LFR|0.9|235	LLP|LFR|1|236	Louvain|GN|237	Infomap|GN|238	LLP|GN|0|239	LLP|GN|0.1|240	LLP|GN|0.2|241	LLP|GN|0.3|242	LLP|GN|0.4|243	LLP|GN|0.5|244	LLP|GN|0.6|245	LLP|GN|0.7|246	LLP|GN|0.8|247	LLP|GN|0.9|248	LLP|GN|1|249	Louvain|LFR|250	Infomap|LFR|251	LLP|LFR|0|252	LLP|LFR|0.1|253	LLP|LFR|0.2|254	LLP|LFR|0.3|255	LLP|LFR|0.4|256	LLP|LFR|0.5|257	LLP|LFR|0.6|258	LLP|LFR|0.7|259	LLP|LFR|0.8|260	LLP|LFR|0.9|261	LLP|LFR|1|262	
1	0	10	0	1	2	3	2	0	0	2	2	1	7	0	10	0	1	0	0	1	1	3	7	0	1	2	1	0	10	1	1	0	2	2	1	6	5	4	2 	0	0	0	10	0	8	0	0	0	7	6	6	9	0	0	0	10	0	0	0	0	0	0	0	0	0	7	0	0	10	0	0	0	5	0	0	8	7	7	8	0	0	10	0	2	0	6	5	9	7	0	0	8	10	0	10	2	2	0	0	0	0	0	0	0	0	0	0	10	7	5	0	5	0	9	6	0	0	0	0	0	10	0	0	0	0	6	0	2	0	0	0	9	0	10	0	0	0	0	0	7	6	6	6	5	9	0	10	0	0	2	0	0	8	0	0	0	0	0	0	10	0	0	0	0	3	0	0	0	0	0	3	0	10	2	6	0	6	0	7	0	0	3	0	0	0	10	0	6	5	0	0	3	8	7	8	0	8	0	10	0	6	5	0	0	6	0	8	7	0	0	0	10	0	0	0	0	2	2	0	0	0	5	0	0	10	0	0	0	5	0	0	0	0	0	7	9	0	10	0	0	0	2	0	6	0	0	0	2	7	0	10	0	4	0	2	5	5	0	7	7	0	8	
1	0	11	2	0	0	1	3	0	2	5	0	4	8	0	11	0	2	0	1	0	0	0	2	0	0	0	1	0	11	1	1	0	0	2	1	2	2	1	1 	7	7	4	11	5	9	7	5	7	8	7	7	10	8	8	4	11	8	5	7	6	5	8	7	7	9	8	8	4	11	4	6	4	6	5	7	9	8	8	9	9	4	11	6	6	9	7	6	10	8	9	8	9	11	4	11	8	7	8	6	6	9	6	7	9	9	9	4	11	8	6	7	6	8	10	7	9	7	9	9	4	11	6	6	5	4	7	7	8	7	7	6	10	4	11	5	8	5	9	5	8	7	7	7	6	10	4	11	6	5	5	6	5	9	7	8	7	8	8	4	11	4	4	6	7	7	6	6	8	8	8	8	4	11	7	7	7	7	6	8	6	8	7	6	8	4	11	7	7	6	8	8	7	9	8	9	7	9	4	11	7	7	6	7	5	7	5	9	8	7	9	4	11	7	6	5	5	6	6	7	9	10	6	9	4	11	5	4	7	6	8	6	8	8	6	8	10	4	11	6	5	6	8	5	7	8	7	7	8	8	4	11	5	5	6	5	6	6	10	8	8	8	9	
1	0	12	1	2	0	3	2	5	0	0	5	2	7	0	12	0	0	0	0	0	4	0	3	1	0	0	1	0	12	1	1	0	0	4	1	2	2	1	5 	8	8	4	12	5	9	7	5	8	8	8	8	11	9	9	4	12	8	6	8	6	5	9	8	8	10	9	9	4	12	4	6	5	7	6	8	9	9	9	10	10	4	12	6	7	10	7	7	11	9	10	9	10	12	4	12	9	8	8	7	6	10	7	8	10	10	10	4	12	8	7	8	6	9	11	8	10	8	10	10	4	12	7	7	6	5	8	8	9	8	8	7	11	4	12	6	8	5	10	6	9	8	8	8	7	11	4	12	7	6	5	7	6	10	8	9	8	9	9	4	12	4	4	7	8	7	7	7	9	9	9	9	4	12	8	7	8	8	6	9	7	9	8	7	9	4	12	8	8	6	8	9	8	10	9	10	8	10	4	12	7	8	7	8	5	8	6	10	9	8	10	4	12	7	7	5	5	6	7	8	10	11	7	10	4	12	6	5	8	7	9	7	9	9	7	9	11	4	12	7	5	7	8	6	8	8	8	8	9	9	4	12	5	5	7	5	7	7	11	9	9	9	10	
1	0	13	3	1	1	4	0	3	5	6	6	1	3	0	13	0	1	1	0	0	0	4	0	0	3	3	1	0	13	2	0	0	0	3	0	4	0	0	5 	9	9	5	13	6	10	8	6	9	9	9	9	12	10	10	5	13	9	7	9	7	6	10	9	9	11	10	10	5	13	5	7	6	8	7	9	10	10	10	11	11	5	13	7	8	11	8	8	12	10	11	10	11	13	5	13	10	9	9	8	7	11	8	9	11	11	11	5	13	9	8	9	7	10	12	9	11	9	11	11	5	13	8	8	7	6	9	9	10	9	9	8	12	5	13	7	9	6	11	7	10	9	9	9	8	12	5	13	8	7	6	8	7	11	9	10	9	10	10	5	13	5	5	8	9	8	8	8	10	10	10	10	5	13	9	8	9	9	7	10	8	10	9	8	10	5	13	3	9	7	9	10	9	11	10	11	9	11	5	13	8	9	8	9	6	9	7	11	10	9	11	5	13	8	8	6	6	7	8	9	11	12	8	11	5	13	7	6	9	8	10	8	10	10	8	10	12	5	13	8	6	8	9	7	9	9	9	9	10	10	5	13	6	6	8	6	8	8	12	10	10	10	11	
1	0	14	0	1	1	7	0	1	4	1	1	2	3	0	14	0	2	1	0	3	4	0	1	1	0	7	1	0	14	3	0	0	1	2	0	5	6	5	6 	3	10	2	14	2	3	3	7	3	10	4	3	13	3	11	2	14	5	2	3	2	2	3	3	3	4	11	11	2	14	2	2	2	9	2	4	3	4	3	3	4	2	14	3	3	5	2	2	6	3	4	11	4	4	2	14	3	4	3	9	3	3	9	3	4	4	12	2	14	4	2	3	3	3	13	3	4	3	12	4	2	14	3	3	2	2	3	3	3	4	2	4	4	2	14	2	3	2	4	8	2	3	10	10	2	3	2	14	2	3	3	9	3	3	10	3	4	3	4	2	14	2	2	9	4	4	2	3	4	4	11	4	2	14	3	3	3	4	8	2	2	11	4	3	11	2	14	4	3	2	3	3	4	12	5	3	10	12	2	14	9	3	9	3	3	4	3	3	3	4	4	2	14	9	3	3	7	3	9	4	4	13	3	12	2	14	3	7	3	2	4	3	4	3	3	11	13	2	14	3	3	3	3	8	10	10	3	3	3	11	2	14	2	2	9	7	9	2	4	11	3	11	12	
1	0	15	1	1	1	4	2	6	3	0	4	5	0	0	15	0	0	0	0	0	5	0	0	2	3	5	1	0	15	1	1	0	1	2	1	2	6	5	3 	10	11	3	15	4	7	6	4	10	11	5	10	14	11	12	3	15	10	4	6	8	7	7	10	6	12	12	12	3	15	3	8	7	10	8	10	11	11	11	12	12	3	15	5	9	8	5	9	13	11	12	12	12	14	3	15	11	6	10	5	8	12	10	10	12	12	13	3	15	10	4	6	8	11	14	10	12	10	13	12	3	15	9	9	4	7	10	10	11	10	10	9	13	3	15	4	7	7	12	9	6	10	11	11	9	13	3	15	5	4	4	10	8	12	11	11	10	11	11	3	15	3	6	10	6	6	9	9	11	11	12	11	3	15	6	5	10	5	9	11	9	12	6	9	12	3	15	6	10	4	10	11	10	7	11	12	11	13	3	15	6	5	4	6	7	10	8	12	6	10	12	3	15	6	9	4	8	8	10	10	12	14	9	13	3	15	4	8	10	4	11	9	11	11	9	12	8	3	15	5	7	9	10	9	11	11	10	10	11	6	3	15	4	7	10	8	10	4	13	12	11	12	13	
1	0	16	0	1	1	1	2	0	6	1	7	1	8	0	16	0	3	1	2	1	1	5	1	4	1	8	1	0	16	2	0	0	0	4	0	5	2	0	2 	5	12	1	16	3	1	2	1	2	12	1	2	7	12	13	1	16	2	1	1	1	1	11	11	5	13	5	6	1	16	6	9	1	1	3	1	6	1	5	13	1	1	16	1	1	4	4	1	1	1	5	6	13	15	1	16	12	1	5	1	9	13	1	5	7	7	5	1	16	5	1	4	9	1	1	2	7	11	7	5	1	16	2	1	1	8	11	11	12	1	5	10	14	1	16	8	1	8	7	1	5	1	1	4	3	7	1	16	1	1	1	1	1	6	2	6	11	12	12	1	16	1	1	2	1	9	4	10	5	6	6	12	1	16	1	1	1	1	3	1	10	6	10	4	2	1	16	1	1	1	6	1	2	6	12	13	5	14	1	16	1	1	1	10	2	1	1	6	11	11	2	1	16	10	1	1	1	1	1	11	2	8	10	1	1	16	1	1	5	1	1	1	6	6	10	5	14	1	16	1	1	4	1	3	1	6	1	5	12	5	1	16	7	1	1	1	1	3	14	4	5	6	4	
1	0	17	0	1	0	1	2	2	7	7	0	2	0	0	17	0	0	0	0	0	0	0	0	2	4	0	1	0	17	1	1	0	2	2	1	2	7	1	4 	1	2	1	17	7	1	2	1	2	1	10	2	6	5	2	1	17	11	8	1	1	1	5	12	4	6	5	5	1	17	1	3	8	1	1	2	5	2	12	14	7	1	17	1	1	4	1	1	1	5	5	5	5	16	1	17	1	5	5	1	1	1	4	2	6	13	14	1	17	1	1	10	10	12	15	11	6	1	4	6	1	17	1	1	1	1	2	2	1	2	1	2	2	1	17	9	1	1	2	10	4	4	4	1	3	14	1	17	4	1	1	11	1	13	2	1	2	13	5	1	17	1	1	2	5	2	1	1	6	5	5	13	1	17	1	1	11	1	10	12	11	5	2	1	2	1	17	9	1	8	1	1	2	6	13	14	1	5	1	17	10	1	1	4	2	2	1	6	5	12	13	1	17	1	1	1	1	1	1	2	2	7	2	14	1	17	1	9	5	9	12	1	12	1	11	1	6	1	17	1	1	4	5	1	1	1	11	11	13	4	1	17	1	1	1	1	1	1	15	5	12	13	6	
1	0	18	0	3	1	2	1	2	2	2	2	6	9	0	18	0	1	1	0	1	2	3	2	3	2	2	1	0	18	1	1	0	1	2	1	0	8	2	4 	11	13	2	18	2	3	9	7	11	13	11	11	15	3	14	2	18	5	9	10	2	8	12	13	10	5	11	13	2	18	2	2	2	2	2	11	3	12	13	15	13	2	18	8	3	5	2	2	6	12	13	13	14	17	2	18	13	4	3	3	10	14	9	11	4	4	15	2	18	4	9	3	11	5	5	12	13	12	12	13	2	18	3	3	8	2	3	3	3	11	11	4	15	2	18	2	3	2	4	2	2	11	12	3	10	15	2	18	2	8	7	2	9	3	4	12	12	14	13	2	18	2	2	4	4	4	10	3	12	12	13	5	2	18	3	9	3	10	11	3	12	3	11	10	13	2	18	10	3	2	11	12	11	12	5	15	12	15	2	18	5	10	3	3	3	11	3	3	12	4	4	2	18	4	3	7	7	9	9	12	4	13	11	6	2	18	3	2	11	2	4	10	13	12	12	3	15	2	18	3	8	3	11	2	12	12	12	12	14	3	2	18	2	2	9	9	11	9	16	11	13	3	14	
1	0	19	0	3	0	1	1	2	2	2	0	6	10	0	19	0	2	2	3	0	2	0	2	5	5	6	1	0	19	2	0	0	4	3	0	3	5	3	3 	1	12	1	19	8	1	1	1	12	1	12	2	5	1	15	1	19	2	1	1	1	1	1	11	1	1	13	6	1	19	1	1	1	11	3	2	1	2	1	1	5	1	19	1	1	12	9	10	1	1	14	14	15	5	1	19	6	1	1	10	1	15	11	12	2	2	16	1	19	2	1	11	1	1	1	1	14	1	1	5	1	19	4	1	1	1	2	2	1	2	3	11	2	1	19	1	1	1	2	1	1	1	1	1	3	1	1	19	1	1	8	1	1	14	1	13	13	1	14	1	19	1	7	2	1	2	1	11	5	1	1	2	1	19	1	1	12	1	3	13	1	1	1	1	14	1	19	1	1	1	1	13	2	13	2	16	13	16	1	19	1	1	1	1	8	1	1	13	13	13	14	1	19	1	1	1	1	4	1	2	2	2	12	1	1	19	1	1	1	1	1	1	2	1	13	13	2	1	19	1	1	1	12	1	13	1	13	1	15	1	1	19	8	1	1	1	1	1	5	13	2	6	4	
1	0	20	4	1	3	4	0	1	3	5	0	4	1	0	20	0	2	1	0	4	0	0	1	3	4	1	1	0	20	2	0	0	0	3	0	4	0	3	4 	12	14	3	20	9	7	6	4	13	14	13	12	16	13	16	3	20	7	4	6	5	7	13	14	11	14	14	14	3	20	7	5	3	12	9	12	12	13	14	16	14	3	20	5	10	8	5	11	14	13	15	15	16	9	3	20	7	6	10	5	11	16	12	13	13	14	8	3	20	6	4	6	12	13	16	13	15	13	14	14	3	20	5	5	4	9	12	12	13	12	12	12	16	3	20	4	7	7	12	9	11	5	13	12	11	16	3	20	9	4	4	12	8	15	12	14	14	15	7	3	20	3	6	5	6	6	11	12	13	13	14	14	3	20	6	10	13	5	9	6	13	13	12	11	15	3	20	6	10	4	10	7	12	7	6	17	6	17	3	20	6	5	10	6	4	12	9	14	14	10	12	3	20	11	9	4	4	10	10	13	13	15	13	8	3	20	4	10	10	4	11	11	7	13	14	14	16	3	20	9	7	5	13	10	14	13	14	13	7	12	3	20	4	3	11	8	12	4	17	14	6	14	15	
1	0	21	0	1	1	3	2	3	0	2	2	6	7	0	21	0	1	1	3	1	2	3	8	3	2	6	1	0	21	1	1	0	2	2	0	0	5	1	2 	13	15	4	21	5	9	10	5	8	8	14	13	10	14	17	4	21	8	5	11	9	9	14	7	12	9	15	15	4	21	8	6	5	6	5	13	13	14	15	9	15	4	21	6	11	9	7	6	10	14	16	9	17	18	4	21	8	10	8	7	6	9	13	7	14	15	17	4	21	8	7	12	6	14	17	7	16	8	15	15	4	21	7	7	9	10	13	8	14	13	13	13	17	4	21	5	8	5	13	11	8	12	14	7	6	17	4	21	7	6	5	13	10	9	7	9	15	16	8	4	21	4	4	11	7	10	12	13	14	8	15	15	4	21	7	11	7	7	6	8	6	14	7	12	9	4	21	7	7	9	12	8	13	14	14	18	14	18	4	21	7	8	6	8	5	13	5	10	15	14	15	4	21	7	7	5	9	6	11	14	10	16	14	15	4	21	6	4	8	10	13	12	14	14	15	9	17	4	21	7	5	7	8	5	15	8	15	14	16	13	4	21	5	5	12	10	6	10	18	15	14	8	16	
1	0	22	0	1	1	2	2	3	2	2	2	1	2	0	22	0	1	1	0	1	4	3	9	1	2	2	1	0	22	3	0	0	2	2	0	5	5	3	5 	14	16	5	22	6	11	7	8	8	15	15	14	17	15	9	5	22	9	10	8	10	5	15	8	13	10	16	16	5	22	5	7	9	7	10	8	14	15	16	17	16	5	22	7	12	13	10	7	15	15	17	10	10	19	5	22	10	9	11	11	12	10	14	8	15	16	18	5	22	9	8	13	13	15	18	14	10	14	16	16	5	22	10	8	10	11	14	13	15	14	14	14	18	5	22	7	9	9	14	12	9	13	8	13	12	18	5	22	10	7	9	7	11	16	13	15	16	17	15	5	22	6	5	12	8	7	7	14	9	14	16	16	5	22	8	8	8	11	12	14	7	15	13	13	16	5	22	11	11	10	13	14	14	10	15	5	8	10	5	22	11	11	11	11	9	14	10	15	9	15	10	5	22	12	8	8	10	11	12	15	14	11	15	16	5	22	7	11	12	11	14	7	15	9	16	15	18	5	22	10	6	10	14	6	16	14	16	8	9	14	5	22	6	6	7	11	13	11	19	16	15	9	10	
1	0	23	0	3	1	1	0	1	2	1	0	1	6	0	23	0	2	1	0	0	0	0	2	6	0	3	1	0	23	4	1	0	1	2	1	2	6	1	6 	15	17	4	23	5	12	11	5	8	8	16	8	18	14	18	4	23	8	11	12	6	10	16	15	7	15	15	17	4	23	4	6	5	6	11	13	9	16	17	18	17	4	23	6	13	10	7	12	10	16	10	16	9	11	4	23	8	7	8	7	13	17	15	7	16	10	10	4	23	8	7	14	6	16	11	15	17	15	9	17	4	23	7	10	11	5	15	8	16	13	15	13	19	4	23	5	8	10	15	13	8	14	15	14	7	19	4	23	7	9	5	6	5	17	7	16	17	16	16	4	23	4	4	6	7	7	13	7	15	15	8	17	4	23	7	7	7	7	6	9	6	16	8	14	17	4	23	7	7	6	8	8	15	9	16	19	7	9	4	23	7	8	6	8	5	7	6	16	15	16	16	4	23	7	7	5	5	6	13	8	15	11	16	15	4	23	6	4	8	6	9	13	16	15	17	16	19	4	23	7	5	7	15	5	8	8	8	15	17	15	4	23	5	5	6	5	14	12	11	17	16	15	17	
1	0	24	0	1	1	1	1	3	2	2	2	6	9	0	24	0	1	1	0	1	2	3	2	3	2	6	1	0	24	5	0	0	3	0	0	4	0	5	5 	2	18	0	24	0	2	0	0	14	16	3	15	3	2	0	0	24	0	0	13	0	0	17	0	2	3	17	2	0	24	0	0	10	13	0	14	8	0	7	2	3	0	24	0	2	0	11	5	0	0	3	2	18	20	0	24	14	2	0	2	2	0	2	0	3	3	19	0	24	3	10	15	14	0	3	0	18	2	2	18	0	24	0	0	0	0	0	0	2	3	0	3	9	0	24	0	2	0	16	0	0	15	16	15	13	0	0	24	0	0	2	0	2	0	3	17	3	2	17	0	24	0	0	0	2	3	14	2	3	0	17	3	0	24	2	6	0	3	0	0	14	0	3	2	3	0	24	0	6	0	14	2	3	0	7	20	2	19	0	24	0	6	2	0	0	3	2	17	16	17	3	0	24	13	0	0	0	2	2	0	3	0	5	3	0	24	0	0	2	0	3	0	0	2	2	7	3	0	24	11	9	11	2	0	0	15	2	16	2	2	0	24	0	8	13	2	0	0	3	2	17	16	2	
1	0	25	5	1	0	1	0	7	3	0	1	0	0	0	25	0	0	0	0	0	0	0	0	0	1	1	1	0	25	2	4	0	0	3	0	4	0	0	1 	11	10	2	25	2	3	3	7	11	17	11	11	19	3	19	2	25	5	12	10	11	8	3	13	14	4	11	11	2	25	9	2	2	2	12	4	15	4	3	15	18	2	25	8	3	5	2	2	6	12	18	11	14	4	2	25	3	4	3	3	10	3	9	3	4	17	20	2	25	4	2	3	15	3	5	12	19	3	5	19	2	25	3	3	2	12	3	5	3	4	11	15	20	2	25	10	3	2	4	8	2	16	10	10	14	20	2	25	2	10	10	9	3	3	10	3	18	14	13	2	25	2	2	13	4	4	2	4	12	12	13	18	2	25	3	3	3	4	2	2	12	17	11	15	13	2	25	10	3	2	5	12	4	12	5	21	12	12	2	25	5	3	3	3	10	11	3	3	17	4	17	2	25	4	10	7	7	3	9	12	4	17	11	4	2	25	3	7	13	2	4	3	4	4	18	11	15	2	25	12	8	3	3	11	10	5	17	17	14	11	2	25	2	2	9	9	11	13	20	18	18	11	18	
1	0	26	0	4	1	2	1	2	7	6	1	1	2	0	26	0	1	1	0	1	4	2	3	5	3	2	1	0	26	1	1	0	1	2	4	2	7	4	3 	11	19	2	26	2	3	9	7	11	13	11	11	15	3	19	2	26	5	9	10	2	8	12	13	14	5	11	18	2	26	2	2	2	2	2	4	16	12	3	15	19	2	26	8	14	5	2	2	6	12	18	11	14	17	2	26	3	4	3	3	10	18	9	3	4	4	4	2	26	4	9	3	15	5	5	12	19	3	12	13	2	26	3	3	8	2	3	3	3	4	11	4	20	2	26	2	3	2	4	2	2	3	10	3	15	20	2	26	2	8	10	2	3	3	4	12	18	14	13	2	26	2	2	9	4	4	2	3	12	16	13	5	2	26	3	3	3	4	11	3	12	3	11	15	13	2	26	10	3	2	5	12	16	12	5	15	12	15	2	26	5	10	12	3	10	11	3	3	12	4	17	2	26	4	3	7	7	3	9	12	4	13	11	12	2	26	3	2	3	2	4	3	17	3	18	17	15	2	26	3	8	3	3	2	10	5	12	17	14	3	2	26	2	2	9	9	11	9	20	11	13	3	12	
1	0	27	1	1	1	4	0	3	3	2	4	6	11	0	27	0	1	1	0	1	4	3	1	3	2	5	1	0	27	2	0	0	0	2	0	7	0	0	3 	16	7	5	27	6	13	12	9	15	18	17	16	20	16	20	5	27	12	13	9	12	11	18	16	15	16	18	19	5	27	5	7	11	14	13	15	17	15	18	19	20	5	27	7	8	14	12	13	16	17	19	17	19	21	5	27	10	9	12	12	14	19	16	14	17	18	21	5	27	9	8	16	16	17	19	16	20	16	17	20	5	27	10	11	10	11	14	14	17	15	16	16	6	5	27	7	9	11	14	14	12	17	17	16	16	21	5	27	11	7	11	14	7	18	14	18	9	18	15	5	27	6	5	14	10	8	15	15	16	17	18	19	5	27	9	8	14	12	13	15	15	18	14	16	18	5	27	12	11	7	15	15	17	15	17	22	15	20	5	27	12	11	13	12	11	15	11	18	18	18	18	5	27	8	8	9	11	12	14	15	14	10	17	17	5	27	7	12	14	8	15	14	18	16	19	10	12	5	27	10	6	6	16	12	17	16	18	18	18	16	5	27	6	6	14	6	15	14	21	10	19	17	19	
1	0	28	0	3	1	5	1	1	2	8	0	5	9	0	28	0	2	3	0	3	2	0	2	1	2	9	1	0	28	1	1	0	2	2	1	0	6	2	6 	8	8	4	28	10	9	7	10	16	19	18	17	21	17	21	4	28	8	5	7	6	12	19	7	12	17	15	20	4	28	4	6	4	6	14	13	18	9	19	20	21	4	28	6	13	15	7	14	17	18	9	18	20	22	4	28	8	7	8	7	6	20	17	15	18	19	22	4	28	11	7	8	17	16	11	17	21	17	9	21	4	28	7	7	6	5	16	8	9	16	17	13	21	4	28	5	8	5	17	13	13	18	18	17	17	19	4	28	6	6	5	6	5	9	7	19	8	19	18	4	28	4	4	6	7	7	13	7	17	18	19	20	4	28	7	7	7	7	14	9	16	19	15	17	19	4	28	7	12	6	8	8	18	9	18	23	16	9	4	28	7	8	6	13	5	16	5	9	19	16	19	4	28	7	11	5	5	6	15	16	16	11	18	18	4	28	6	4	8	6	16	15	9	17	20	18	19	4	28	7	5	12	8	5	8	8	19	19	8	17	4	28	5	5	6	12	16	12	22	19	20	18	20	
1	0	29	1	1	0	8	0	7	3	0	0	0	6	0	29	0	0	0	0	0	1	0	10	3	1	5	1	0	29	1	1	0	1	2	1	6	6	5	5 	8	15	4	29	5	14	13	5	8	8	8	7	10	14	8	4	29	8	14	11	13	5	20	7	7	9	8	8	4	29	10	6	5	6	5	13	13	17	15	9	22	4	29	6	7	9	7	6	10	8	9	9	21	23	4	29	8	7	13	7	6	9	13	7	14	15	9	4	29	8	11	8	6	18	11	7	22	18	9	22	4	29	7	12	9	4	7	7	9	7	7	17	17	4	29	5	10	5	13	13	8	7	14	7	6	22	4	29	6	6	5	6	5	9	7	9	7	16	8	4	29	4	8	6	7	11	12	13	14	8	8	8	4	29	7	11	7	13	6	8	6	20	7	12	9	4	29	7	7	6	16	8	13	9	8	24	7	18	4	29	7	8	6	7	5	7	5	19	15	14	9	4	29	7	12	5	5	6	6	17	10	16	6	9	4	29	6	4	8	12	8	6	14	8	21	8	20	4	29	7	5	7	17	5	8	8	7	7	8	13	4	29	5	5	12	5	6	6	10	15	21	8	9	
